target_gene	experiment_type	cell_line	gene_silencing_series	experiment_id	experiment_doi	sample_id	rin	read_depth	bio_rep	tech_rep	sex	age	life_stage	gene_quantification_id	file_format	output_type	genome_annotation	mapped_run_type	lab	assay	cellosaurus	biosample	document	biosample_alias	nucleic_acid_type	extraction_method	fragmentation_method	size_selection_method	strand_specificity	Splicing_regulation	Spliceosome	Exon_junction_complex	NMD
AATF	case	HepG2	ENCSR634FMS	ENCSR424YSV	10.17989/ENCSR424YSV	ENCFF437MHN	9.5	20490553	1	1_1	male	15	child	ENCFF399ZDJ	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB280IGO	/documents/53bde666-d5c6-4fd7-aa3e-3ad78e58fb1f/	AATF_BGHLV14-3	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AATF	case	HepG2	ENCSR634FMS	ENCSR424YSV	10.17989/ENCSR424YSV	ENCFF809YZX	9.6	21771725	2	2_1	male	15	child	ENCFF785QEW	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB057GGB	/documents/3776170f-9e86-4b9b-b2b5-334670e91e31/	AATF_BGHLV14-4	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AATF	control	HepG2	ENCSR634FMS	ENCSR003EKR	10.17989/ENCSR003EKR	ENCFF383BBD	9.5	20502513	2	2_1	male	15	child	ENCFF545BIP	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AATF	control	HepG2	ENCSR634FMS	ENCSR003EKR	10.17989/ENCSR003EKR	ENCFF670AXP	9.4	18343079	1	1_1	male	15	child	ENCFF237FMK	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AATF	case	K562	ENCSR146UCW	ENCSR973QSV	10.17989/ENCSR973QSV	ENCFF474GIV	9.4	23029036	2	2_1	female	53	adult	ENCFF247IEV	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB111SMM	/documents/1b2f090b-c092-4e52-8243-a3d811ffe63f/	AATF_BGKLV13_14	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AATF	case	K562	ENCSR146UCW	ENCSR973QSV	10.17989/ENCSR973QSV	ENCFF507PMA	9.3	23680362	1	1_1	female	53	adult	ENCFF579RDQ	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB475OEB	/documents/b5687a82-8b0e-4e76-84a2-7a22b041bff1/	AATF_BGKLV13_13	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AATF	control	K562	ENCSR146UCW	ENCSR815CVQ	10.17989/ENCSR815CVQ	ENCFF775PQE	9.5	21164790	1	1_1	female	53	adult	ENCFF035LMI	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AATF	control	K562	ENCSR146UCW	ENCSR815CVQ	10.17989/ENCSR815CVQ	ENCFF397FHE	9.3	22138396	2	2_1	female	53	adult	ENCFF592ASF	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	case	HepG2	ENCSR266ZIC	ENCSR610VTA	10.17989/ENCSR610VTA	ENCFF629SPS	10	89004170	1	1_1	male	15	child	ENCFF490RIU	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB762ASE	/documents/9c1e0254-87ce-49a5-996c-644b3df396a4/	ABCF1_BGHLV30-3	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	case	HepG2	ENCSR266ZIC	ENCSR610VTA	10.17989/ENCSR610VTA	ENCFF192ZJM	9.9	31088604	2	2_1	male	15	child	ENCFF696QXO	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB400UBN	/documents/c67b50c8-5a44-4982-a4dc-9904185e4617/	ABCF1_BGHLV30-4	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	control	HepG2	ENCSR266ZIC	ENCSR067GHD	10.17989/ENCSR067GHD	ENCFF304ITC	10	32583010	2	2_1	male	15	child	ENCFF861ZJD	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	control	HepG2	ENCSR266ZIC	ENCSR067GHD	10.17989/ENCSR067GHD	ENCFF032IND	10	19538219	1	1_1	male	15	child	ENCFF528UQK	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	case	K562	ENCSR242RKD	ENCSR721MXZ	10.17989/ENCSR721MXZ	ENCFF285LXS	9.9	51088707	1	1_1	female	53	adult	ENCFF825OAK	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB015ARF	/documents/65457047-b90a-4b4b-b293-a57164cd4309/	ABCF1_BGKLV29-3	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	case	K562	ENCSR242RKD	ENCSR721MXZ	10.17989/ENCSR721MXZ	ENCFF410WYF	9.6	53761569	2	2_1	female	53	adult	ENCFF515XIO	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB259DIT	/documents/b64a9c0f-7baf-4a67-b88b-51ef34b35bda/	ABCF1_BGKLV29-4	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	control	K562	ENCSR242RKD	ENCSR032YMP	10.17989/ENCSR032YMP	ENCFF642XQV	10	40542487	1	1_1	female	53	adult	ENCFF135WYE	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABCF1	control	K562	ENCSR242RKD	ENCSR032YMP	10.17989/ENCSR032YMP	ENCFF162FQZ	9.9	32549372	2	2_1	female	53	adult	ENCFF396VZW	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	case	HepG2	ENCSR456IPG	ENCSR756VLW	10.17989/ENCSR756VLW	ENCFF413XHF	9.2	24854918	1	1_1	male	15	child	ENCFF857DFG	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB790TRW	/documents/7c264385-ac04-4350-b9ca-ecf4eb46253d/	ABT1-BGHLV37-3C	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	case	HepG2	ENCSR456IPG	ENCSR756VLW	10.17989/ENCSR756VLW	ENCFF179KBP	9.3	26497242	2	2_1	male	15	child	ENCFF188JIV	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB858UHU	/documents/8b526c81-d98e-44e8-b148-e09086ff766b/	ABT1-BGHLV37-4C	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	control	HepG2	ENCSR456IPG	ENCSR225PRV	10.17989/ENCSR225PRV	ENCFF085MQH	9.6	21601625	2	2_1	male	15	child	ENCFF881HQM	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	control	HepG2	ENCSR456IPG	ENCSR225PRV	10.17989/ENCSR225PRV	ENCFF560WIR	10	14279264	1	1_1	male	15	child	ENCFF255EQI	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	case	K562	ENCSR954JGH	ENCSR233UVM	10.17989/ENCSR233UVM	ENCFF437SBQ	9.2	31807082	1	1_1	female	53	adult	ENCFF628XHC	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB237JDR	/documents/51aab286-6d91-458d-a8a3-144a8effb92c/	ABT1-BGKLV38-5C	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	case	K562	ENCSR954JGH	ENCSR233UVM	10.17989/ENCSR233UVM	ENCFF586XYX	9.1	21604752	2	2_1	female	53	adult	ENCFF718ZLN	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB914SSP	/documents/66054a1a-4db3-4f03-9f66-d94860949d70/	ABT1-BGKLV38-6C	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	control	K562	ENCSR954JGH	ENCSR260BQC	10.17989/ENCSR260BQC	ENCFF059NNE	9.2	25433077	2	2_1	female	53	adult	ENCFF416LPZ	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ABT1	control	K562	ENCSR954JGH	ENCSR260BQC	10.17989/ENCSR260BQC	ENCFF607DWM	9.7	18523362	1	1_1	female	53	adult	ENCFF767DNH	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
ADAR	case	HepG2	ENCSR553SDV	ENCSR104OLN	10.17989/ENCSR104OLN	ENCFF810OBJ	9.9	20650820	2	2_1	male	15	child	ENCFF022CDL	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB012QRD	/documents/32c20bef-2a02-4ce8-aec4-2208c6d40f50/	ADAR-BGHLV20-4_17709	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
ADAR	case	HepG2	ENCSR553SDV	ENCSR104OLN	10.17989/ENCSR104OLN	ENCFF068UBR	9.8	20361806	1	1_1	male	15	child	ENCFF778ZHL	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB918BSZ	/documents/9ec13b8b-fb7b-4f9c-aa7a-006847453605/	ADAR-BGHLV20-3_17708	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
ADAR	control	HepG2	ENCSR553SDV	ENCSR305XWT	10.17989/ENCSR305XWT	ENCFF857QEU	9.9	22724294	1	1_1	male	15	child	ENCFF570CRU	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
ADAR	control	HepG2	ENCSR553SDV	ENCSR305XWT	10.17989/ENCSR305XWT	ENCFF894JVP	9.8	21954182	2	2_1	male	15	child	ENCFF505VMT	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
ADAR	case	K562	ENCSR415ETS	ENCSR164TLB	10.17989/ENCSR164TLB	ENCFF415BGD	9.8	18272228	1	1_1	female	53	adult	ENCFF637MHU	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB989UYO	/documents/2c1e29e9-4b3e-497d-b814-85bbd6f8218e/	ADAR_BGKLV24_3_17596	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
ADAR	case	K562	ENCSR415ETS	ENCSR164TLB	10.17989/ENCSR164TLB	ENCFF877QES	9.5	16625495	2	2_1	female	53	adult	ENCFF024LGB	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB155EFP	/documents/35bb63b9-f32b-443e-b263-0c3d68c678d6/	ADAR_BGKLV24_4_17597	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
ADAR	control	K562	ENCSR415ETS	ENCSR667PLJ	10.17989/ENCSR667PLJ	ENCFF554WDW	9.7	16099743	1	1_1	female	53	adult	ENCFF096IBO	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
ADAR	control	K562	ENCSR415ETS	ENCSR667PLJ	10.17989/ENCSR667PLJ	ENCFF439DBK	9.8	14209825	2	2_1	female	53	adult	ENCFF096FXH	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	1	0	0	0
AGO1	case	HepG2	ENCSR213SDO	ENCSR533HXS	10.17989/ENCSR533HXS	ENCFF061AAH	9.6	25199059	1	1_1	male	15	child	ENCFF404IFV	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB416HXZ	/documents/119f4afa-1248-46f4-b630-a0ef632b660c/	EIF2C1_BGHLV14-13	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AGO1	case	HepG2	ENCSR213SDO	ENCSR533HXS	10.17989/ENCSR533HXS	ENCFF851ILO	9.5	23137130	2	2_1	male	15	child	ENCFF852CHB	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB503IXQ	/documents/0d099aaa-18ee-411d-bfad-192741be28f7/	EIF2C1_BGHLV14-14	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AGO1	control	HepG2	ENCSR213SDO	ENCSR003EKR	10.17989/ENCSR003EKR	ENCFF383BBD	9.5	20502513	2	2_1	male	15	child	ENCFF545BIP	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AGO1	control	HepG2	ENCSR213SDO	ENCSR003EKR	10.17989/ENCSR003EKR	ENCFF670AXP	9.4	18343079	1	1_1	male	15	child	ENCFF237FMK	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AGO1	case	K562	ENCSR821NVF	ENCSR268JDD	10.17989/ENCSR268JDD	ENCFF052FIN	9.3	21079024	1	1_1	female	53	adult	ENCFF497KTV	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB437EHZ	/documents/fd811aaf-ad67-4085-9077-de8002b9d9ea/	EIF2C1_BGKLV13_69	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AGO1	case	K562	ENCSR821NVF	ENCSR268JDD	10.17989/ENCSR268JDD	ENCFF938ZOK	9.4	19728645	2	2_1	female	53	adult	ENCFF617UZR	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB452BCP	/documents/dfa9ae48-d713-431e-8792-2e0f48d7ba5a/	EIF2C1_BGKLV13_70	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AGO1	control	K562	ENCSR821NVF	ENCSR084SCN	10.17989/ENCSR084SCN	ENCFF070KDQ	9.4	22305708	1	1_1	female	53	adult	ENCFF655KYK	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AGO1	control	K562	ENCSR821NVF	ENCSR084SCN	10.17989/ENCSR084SCN	ENCFF954DPS	9.3	13286956	2	2_1	female	53	adult	ENCFF558RNQ	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
